Compound Actions,,,,,per action,,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,displacement,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supine Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prone Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidelying Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quadruped Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Jumping Jack,,power_drills_plyometrics,,no_equipment,none,fast,,,1,,double_leg_moving,,3000.3_a,Jump Legs Apart: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,1,Arms up,,,2405.1_a,Lateral Raise Neutral Grip:Positive,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,2405.1_c,Lateral Raise Neutral Grip:stance,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,2,,double_leg_moving,,3000.3_b,Jump Legs Apart: Loading,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,1006,"landing, double leg",,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,3,,double_leg_moving,,3000.3_c,Jump Legs together: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,3,Arms down,,,2405.1_b,Lateral Raise Neutral Grip:Negative,,,,,,,,,,,,,,
,,,,,,,,,,3,,,,2405.1_c,Lateral Raise Neutral Grip:stance,,,,,,,,,,,,,,
,,,,,,,,,,3,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,4,,double_leg_moving,,3000.3_d,Jump Legs together: Loading,,,,,,,,,,,,,,
,,,,,,,,,,4,,,,1006,"landing, double leg",,,,,,,,,,,,,,
1103.1,"Jumping Jack, T Shaped",Jumping jack with arms as T shape doing horizontal add/abduction,power_drills_plyometrics,,no_equipment,none,fast,,,1,,double_leg_moving,,3000.3_a,Jump Legs Apart: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,1,T positive,,,2408_a,Horizontal Abduction:positive,,,,,,,,,,,,,,
,,,,,,,,,,1,T stance,,,2406_c,Front Raise:isometric hold,,,,,,,,,,,,,,
,,,,,,,,,,1,bracing,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
