Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
410,Forward Bear Crawl,,strength_core,,no_equipment,none,mod,,1,,quadruped,,1007.1,"bear stance, 2pts",,,,,,,,,,,,,,
,,,,,,,,,1,,,,1220.2_a,Leg Flexion: positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1221_a,overhead reach:positive,,,,,,,,,,,,,,
,,,strength_core,,no_equipment,none,mod,,2,,quadruped,,1007,bear stance,,,,,,,bilateral_uneven,0,1,2,1,90.57,"20, 80",
,,,,,,,,,2,,,,1221.1_a,crawl forward:positive,,,,,,,,,,,,,,
411,Backward Bear Crawl,,strength_core,,no_equipment,none,mod,,1,,quadruped,,1007.1,"bear stance, 2pts",,,,,,,,,,,,,,
,,,,,,,,,1,,,,1220.2_a,Leg Flexion: positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1221_a,overhead reach:positive,,,,,,,,,,,,,,
,,,strength_core,,no_equipment,none,mod,,2,,quadruped,,1007,bear stance,,,,,,,bilateral_uneven,0,1,2,1,90.57,"20, 80",
,,,,,,,,,2,,,,1221.1_a,crawl backward:positive,,,,,,,,,,,,,,
420,Mountain Climbers,,power_drills_plyometrics,,no_equipment,none,fast,,1,,quadruped,,1201_a,mountain climber: knee to chest: leg,,,,,,,,,,,,,,
,,,,,,,,,,,,,1201_b,mountain climber: extend legs: leg,,,,,,,,,,,,,,
,,,,,,,,,,,,,1201_c,mountain climber: stabilizing,,,,,,,,,,,,,,
,Standing Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Iso Squat Hold,,strength_action_bw,,no_equipment,none,none,,1,,double_leg_standing,,1002,squat isometric hold,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
501,Squat,,strength_action_bw,,no_equipment,none,mod,,1,,double_leg_standing,,2000_a,Squat:positive,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
