,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,3-Way Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/RvqYZZ7AqIM,dumbbells,,Reps,['basic_functional_movement: lunge'],accessory work 1,0,0,0,0,1889,5d13de4ccc3ad8000f34a2ec,Weight (Actual),
,4 Cone Box Drill,,,"sprint, shuffle, backward run, shuffle",,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/CYdkZbD8sjw,,,Reps,[],stamina 1; stamina,0,1,0,1,209,57e2fd3a4c6a031dc777e8fd,Weight (Actual),x
,4 Way Dead Bugs,,,,,,strength_endurance,,,,,,,,,https://youtu.be/6XdUv05OPCI,,,Reps,[],strength work,1,0,0,1,240,57e2fd3a4c6a031dc777e923,#N/A,
,400 Meter Sprint,,,1,,,strength_cardiorespiratory,run,,,stable,,,speed - no force,,https://youtu.be/rFlJPm9wd1o,,,Meters,['basic_functional_movement: sprint'],warm-up / movement prep; endurance,0,0,0,0,525,58459df8dc2ce90011f93d87,#N/A,
,5 Cone Zig Zag Drill,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/lVM0DU-kdec,,,Reps,[],speed work; plyometrics; stamina 1; stamina 2; stamina; stamina 3,0,1,1,2,212,57e2fd3a4c6a031dc777e900,#N/A,
,5 Minute Flow: The Deep Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/cyd6tVhmkcw,,,Time,['basic_functional_movement: lunge'],breathing work,0,0,0,0,1110,5a5030f2b0d8ca000f30c99c,#N/A,
Medicine Ball Circuit,5 Way Med Ball Circuit,"in power stance, forward facing overhead throw, forward facing lateral throw on both sides, side facing lateral throw on both sides",,"2101, 2102, 2102","1000, 1000, 1000, 1000, 1000, 1001, 1003 1002, 1002, 1002, 1002",,power_action_plyometrics,,,,stable,medicine_balls,,speed - mod force,,https://youtube.com/watch?v=psuefcS75nA,medicine_balls,,Reps,[],dynamic warm-up,0,0,0,0,581,5861d6b64d0fec0011c02cf9,Weight (Actual),
,5 Way Shoulder Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/kcze3ieMqww,,,Seconds; Reps; Minutes; Time,[],warm-up/movement prep; movement flow; cool down; mobility; breathing work; mobility work 1; down regulation breathing; recovery protocol; neuro adaptation; mobility work,0,0,0,0,954,59c97d783d98d0000fd7fc8b,#N/A,
,5-10-5 Sprint,"sprint 5m, cut, 5m back, cut, then 10m etc",,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/Uqk3GPQmiNU,,,Reps,['basic_functional_movement: sprint'],carbine; accessory stamina; precision rifle; speed work; plyometrics; heart rate elevation; stamina 1; pistol - outside the waistband; pistol - concealed carry; stamina part 1; conditioning 1; stamina; stamina 2,0,1,1,2,211,57e2fd3a4c6a031dc777e8ff,#N/A,
Medicine Ball Circuit,5-Way Upper Body Med-ball Plyo Circuit,"forward facing overhead throw, forward facing lateral throw on both sides, side facing lateral throw on both sides",,"2101, 2102, 2102",1000,,power_action_plyometrics,,,,stable,medicine_balls,,speed - mod force,,https://youtu.be/KtNufhebd7I,medicine_balls,,,['equipment: medicine-slam balls'],,0,0,0,0,242,57e2fd3a4c6a031dc777e925,#N/A,
