,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Banded Reverse Hypers,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=psPj3X7gIeE,resistence_bands,,,[],,0,0,0,0,234,57e2fd3a4c6a031dc777e91c,#N/A,
,Banded Row,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=b_3uEbxIDD8,resistence_bands,,Reps,['equipment: rower'],warm-up/movement prep; warm-up / movement prep; bonus material; accessory work,0,0,0,0,1246,5ad8a98ad4365e000f29d7cf,#N/A,
,Banded Run,,,,,,movement_prep,,,,,,,,,https://www.youtube.com/watch?v=13T33mSadls,resistence_bands,,Seconds; Minutes,"['equipment: running', 'basic_functional_movement: run']",skill prep; run skill development,0,0,0,0,1565,5c1d346b2fa17a000f5532b0,#N/A,
,Banded Shoulder Distraction,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=iR5EU6M2dM8,resistence_bands,,Time,[],warm-up,0,0,0,0,1223,5ac531ba16557e000f3da61f,#N/A,
,Banded Single Leg Glute Bridge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=PfeFFHtDxFA,resistence_bands,,Seconds; Reps,['body position: single leg standing'],strength work; warm-up/movement prep; accessory work; strength 1; warm-up; strength 2; correctives; warm-up / movement prep; accessory work 1; movement primer,1,0,0,1,1071,5a14b80621a0de000fcace6c,Weight (Actual),
,Banded Single Leg Good Morning,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=KJUXHZeHZn0,resistence_bands,,Reps,['body position: single leg standing'],warm-up/movement prep; accessory work; strength 1; strength 3; strength 4; strength 2; warm up/movement prep; warm-up / movement prep,1,0,0,1,1350,5b7dd903193653000f03ecfc,#N/A,
,Banded Sit-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/eQmIEa4z-oU,resistence_bands,,Reps,[],accessory work,0,0,0,0,1762,5caa451dfce115001242254d,#N/A,
,Banded Skater Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/4f4RU9OVvLI,resistence_bands,,Reps,['basic_functional_movement: squat'],accessory work 1,0,0,0,0,1844,5cf99ca9fce115001254cbbb,#N/A,
,Banded Skull Crusher,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=LydReFxjeFY,resistence_bands,,Reps; Time,[],suns out guns out; accessory work 1,0,0,0,0,805,590c9ed663f016000f39187c,Weight (Actual),
,Banded Split Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=Q10xCkurlss,resistence_bands,,Reps,['basic_functional_movement: squat'],accessory work,0,0,0,0,834,5936c91ed8d39b000f71ad31,Weight (Actual),
,Banded Straight Arm Pulldown,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/pjfu9P2j1h4,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up / movement prep (iapetus 2),0,0,0,0,1924,5d3b7959fce115001264e052,#N/A,
,Banded Supine Glute March,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/EHH4KCHQLAw,resistence_bands,,Seconds; Reps,['body position: supine'],warm-up/movement prep; accessory work; strength 1; accessory work 2,1,0,0,1,1470,5bec3863928046000fa52001,#N/A,
,Banded Support Full Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/aSPZ3opMwRU,resistence_bands,,,['basic_functional_movement: squat'],,0,0,0,0,236,57e2fd3a4c6a031dc777e91e,#N/A,
,Banded Terminal Knee Extensions,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/-aZyj8sH8GY,resistence_bands,,Reps,[],accessory work 1,0,0,0,0,1866,5d079e5760e5d3000f2a89da,#N/A,
,Banded Tricep Extension,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/ioMF-2ErRLw,resistence_bands,,Reps,['movement direction - plane: sagittal'],accessory work 2; accessory work; assistance work; strength 2,1,0,0,1,237,57e2fd3a4c6a031dc777e91f,#N/A,
,Banded Tricep Pull Down,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/15DFFhcjypM,resistence_bands,,Reps,[],warm-up/movement prep; accessory work; warm-up; strength 2; bonus material; strength; bonus work (optional); warm-up / movement prep; accessory work 1; assistance work,1,0,0,1,1148,5a7b4aa986486d000fe852ca,Weight (Actual),
,Banded Tricep Pushdowns,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/sOwqhWj5KLQ,resistence_bands,,Reps; Minutes; Time; Seconds,[],accessory work 2; accessory work; suns out guns out; sunâ€™s out guns out (accessory work); bonus material; suns out guns out 2; assisted work; bonus work (optional); accessory work 1; assistance work,0,0,0,0,67,57e2fd3a4c6a031dc777e863,Weight (Actual),
,Banded Trunk Rotations,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/w16lT9DoNOE,resistence_bands,,Reps,[],warm-up/movement prep; prehab/dynamic warm-up; prehab/dynamic warm up; prehab / dynamic warm-up; warm-up; prehab/dynamic warm up (jog 200); trunk work; recovery protocol; dynamic warm-up; warm up/movement prep; correctives; warm-up / movement prep; bonus work (optional),0,0,0,0,149,57e2fd3a4c6a031dc777e8bd,#N/A,
,Banded Vertical Jump,,,,,,power_action_plyometrics,,,,,resistence_bands,,,,https://www.youtube.com/watch?v=VKkvl1EC5Oc,resistence_bands,,Reps,"['basic_exercise: vertical jumps', 'movement direction - axis: vertical', 'basic_functional_movement: jump']",strength 1; plyometrics,1,0,1,2,1706,5c75e80c25e0a60012977b93,#N/A,
,Banded Vertical Lunge Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/5o_lg4MUnXQ,resistence_bands,,,"['movement direction - axis: vertical', 'basic_functional_movement: lunge']",,0,0,0,0,238,57e2fd3a4c6a031dc777e920,#N/A,
,Banded Wall Slides,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/aXTY2bFZfag,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up,0,0,0,0,1329,5b5ca4e51b4ba1000f5d5123,#N/A,
,Banded Y's,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/JU1m4JqiV1c,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up; warm up/movement prep,0,0,0,0,1022,59e0c563b0b986000f1a78ad,#N/A,
,Bar Facing Burpees,burpee with jump over the bar as a hurdle,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/r9D58UqSnu0,,,Reps; Seconds,[],conditioning; soflete rx'd; conditioning option a; soflete performance; mix modal; conditioning 2; soflete fitness; stamina 1; conditioning 1; strength; bonus work; open 18.2 prep; stamina; stamina 2,1,1,0,2,106,57e2fd3a4c6a031dc777e88e,Weight (Actual),x
,Bar Muscle Up,,,,,,,,,,,,,,,https://youtu.be/iUAukdE0QQ4,,,Reps; Time,[],conditioning; conditioning option a; weapons development 2; open 18.3 prep; weapons development; conditioning 2; conditioning 3; weapons development 1; stamina 1; gymnastics; stamina; stamina 2,0,1,0,1,239,57e2fd3a4c6a031dc777e921,#N/A,
,Barbell Achilles Mash,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/BbaMmakxrio,barbells,,Minutes,['equipment: barbells'],recovery protocol; mobility,0,0,0,0,738,58b31334707ad3000fbf1539,#N/A,
,Barbell Back Squat Jump,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/I6wUKu7LFmY,barbells,,Reps; Time,"['equipment: barbells', 'basic_functional_movement: jump', 'basic_functional_movement: squat']",warm-up/movement prep; accessory work; strength 1; plyometrics; warm-up; strength 2; strength; stamina,1,1,1,3,701,589e29d5872daa000f94fff5,Weight (Actual),
,Barbell Bicep Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/E-IsFXVGgY4,barbells,,Reps; Minutes; Time; Seconds,['equipment: barbells'],accessory work 2; accessory work; suns out guns out; sunâ€™s out guns out (accessory work); suns out guns out (accessory work); suns out guns out 1; bonus material; strength 5; strength; accessory work 1,1,0,0,1,244,57e2fd3a4c6a031dc777e928,Weight (Actual),
,Barbell Drag Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/LMdNTHH6G8I,barbells,,Reps,['equipment: barbells'],accessory work 2; accessory work; suns out guns out; stamina; strength 2; bonus material; strength 5; bonus work (optional); assistance work,1,1,0,2,839,593bfc962f01a7000f70ee5d,Weight (Actual),
,Barbell Farmer's Walk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/-w2I27okNtY,barbells,,Feet,"['equipment: barbells', 'basic_functional_movement: step']",strength,1,0,0,1,907,5982190bc3db3e000f721f8e,Weight (Actual),
,Barbell Front Raise,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/LJcX054ijjk,barbells,,Reps,['equipment: barbells'],strength 4,1,0,0,1,1794,5cc0b33b60e5d3000f1ad1e9,Weight (Actual),
,Barbell Glute Bridge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/UJi5p2g5oSk,barbells,,Reps; Time,['equipment: barbells'],accessory work; strength 2; neuro adaptation; accessory work 1; stamina,1,1,0,2,957,59c97e683d98d0000fd7fc8e,Weight (Actual),
,Barbell Good Morning,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/5Xj6XUa77qc,barbells,,Reps,['equipment: barbells'],warm-up/movement prep; accessory work; powerlifting; strength 1; strength 3; warm-up; sky's out thighs out; strength 2; skyâ€™s out thighs out (accessory work); trunk work; skys out thighs out; assisted work; strength; neuro adaptation; warm-up / movement prep; accessory work 1; movement primer,1,0,0,1,52,57e2fd3a4c6a031dc777e852,Weight (Actual),
,Barbell Hack Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/KDFzmSLDN0s?t=101,barbells,,Reps,"['equipment: barbells', 'basic_functional_movement: squat']",accessory work 2; strength 1; strength 3,1,0,0,1,1754,5ca25ad8cc3ad8000f1a1cfa,Weight (Actual),
,Barbell Hang Power Clean,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/GvfFf4xDNqM,barbells,,Reps,"['olympic_lift: power clean', 'equipment: barbells']",strength 1,1,0,0,1,249,57e2fd3a4c6a031dc777e92d,Weight (Actual),
,Barbell Hip Thrust w/ Band Around Knees,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/4BFfnaWkLrE,barbells,,Reps,['equipment: barbells'],accessory work 1,0,0,0,0,1813,5ce3128efce11500124f8e05,Weight (Actual),
,Barbell Jumping Squat,,,,,,power_action_plyometrics,,,,,barbells,,,,https://youtu.be/xAx9s3oBTt0,barbells,,Reps,"['equipment: barbells', 'basic_functional_movement: jump', 'basic_functional_movement: squat']",warm-up/movement prep; strength 1; neuro adaptation; warm-up / movement prep; stamina; movement primer,1,1,0,2,1156,5a8c8faf7f2621000ff911fd,Weight (Actual),
,Barbell Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/0_9sJd9P8M0,barbells,,Reps,"['equipment: barbells', 'basic_functional_movement: lunge']",strength 3; strength 2; stamina; strength,1,1,0,2,252,57e2fd3a4c6a031dc777e931,Weight (3RM),
,Barbell Primal Lunge,,,,,,strength_integrated_resistance,,,,,,,,,,barbells,,,"['equipment: barbells', 'basic_functional_movement: lunge']",,0,0,0,0,251,57e2fd3a4c6a031dc777e930,#N/A,
,Barbell Primal Squat,,,,,,strength_integrated_resistance,,,,,,,,,,barbells,,,"['equipment: barbells', 'basic_functional_movement: squat']",,0,0,0,0,250,57e2fd3a4c6a031dc777e92f,#N/A,
,Barbell Push-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/qc5zPS3NM6g,barbells,,Reps,"['basic_exercise: push-ups', 'equipment: barbells']",suns out guns out; sunâ€™s out guns out (accessory work),0,0,0,0,726,58aafb74b2a266000fbbb5e7,Weight (Actual),
,Barbell Roll-Out,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/s_elM3ciI8g,barbells,,Reps; Minutes; Seconds,['equipment: barbells'],accessory work 2; accessory work; suns out guns out; strength 3; accessory work 3; trunk work; stamina 1; gymnastics; strength 5; giantset; strength; accessory work 4; stamina; core,1,1,0,2,100,57e2fd3a4c6a031dc777e888,Weight (Actual),
,Barbell Romanian Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/GZAKFRNtxLY,barbells,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'equipment: barbells']",accessory work; strength 1; strength 3; skys out thighs out 1; strength 2; neuro adaptive,1,0,0,1,245,57e2fd3a4c6a031dc777e929,Weight (Actual),
,Barbell Rows,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9efgcAjQe7E,barbells,,Reps,['equipment: barbells'],strength 2; stamina; strength 3,1,1,0,2,70,57e2fd3a4c6a031dc777e866,Weight (Actual),
,Barbell Seated Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=oBGeXxnigsQ,barbells,,Reps,['equipment: barbells'],strength 2; strength 1; strength,1,0,0,1,655,588515df9f4d4d000f6e14a8,Weight (Actual),
,Barbell Shrug,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9xGqgGFAtiM,barbells,,Reps,['equipment: barbells'],accessory work; strength 1; warm-up; strength 6; stamina,1,1,0,2,507,5840729adc2ce90011f93a9e,Weight (Actual),
,Barbell Skull Crusher,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/trVzEReByPg,barbells,,Reps,['equipment: barbells'],accessory work; suns out guns out; strength 3; strength 2; assisted work; bonus work (optional),1,0,0,1,247,57e2fd3a4c6a031dc777e92b,Weight (Actual),
,Barbell Step Over,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/mf90r1yzQcw,barbells,,Reps,"['equipment: barbells', 'basic_functional_movement: step']",mobility work; mobility work 2,0,0,0,0,975,59cc472e514bb0000fa699b2,#N/A,
,Barbell Step Up with Leg Lift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=mao5gdA24m8,barbells,,Reps,"['basic_exercise: step-up', 'equipment: barbells', 'basic_functional_movement: step']",strength 1,1,0,0,1,1756,5ca4c9b7fce115001240d089,Weight (Actual),
,Barbell Step Ups with Leg Lift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=fC989xRxZJI,barbells,,Reps,"['basic_exercise: step-up', 'equipment: barbells', 'basic_functional_movement: step']",strength 1,1,0,0,1,1681,5c6a23fb13b7570012258f02,Weight (Actual),
,Barbell Step-Up Complex,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/BdJ51y-FNzg,barbells,,,"['basic_exercise: step-up', 'equipment: barbells', 'basic_functional_movement: step']",,0,0,0,0,253,57e2fd3a4c6a031dc777e932,#N/A,
,Barbell Twist,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/TImmxdzX0gk,barbells,,Reps,['equipment: barbells'],trunk work,0,0,0,0,708,58a1d555668050000fa67a08,#N/A,
,Barbell Windshield Wipers,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/i_OOq_SHWnE,barbells,,Reps,['equipment: barbells'],core,0,0,0,0,1799,5cc22dabfce11500124834ea,Weight (Actual),
,Battle Ropes,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/x4g52Eo3Ehs,,,Seconds; Time,[],recovery; stamina,0,1,0,1,869,596785fa332cef000f675ff7,#N/A,
,Batwing Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/C5ej9WxQhgY,dumbbells,,Reps,['equipment: rower'],accessory work; accessory work 1; strength 2,1,0,0,1,173,57e2fd3a4c6a031dc777e8d6,Weight (Actual),
,Bear Complex,"five-lift complex consisting of a power clean, front squat, push press, back squat, and second push press",,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/oOd_VaYDFSw,barbells,,Reps,[],strength 1; strength; stamina 3,1,1,0,2,58,57e2fd3a4c6a031dc777e858,Weight (Actual),
,Bear Crawl Hold,,,,,,,,,,,,,,,https://youtu.be/n6D52xzXKCg,,,Time,[],strength 1,1,0,0,1,1359,5b80b72006ca84000f0b4024,#N/A,
,Bear Crawl Sandbag Drag,,,,,,power_action_plyometrics,,,,,sandbags,,,,https://youtu.be/lj8ahrhcBro,sandbags,,Yards; Meters; Feet,['equipment: sandbags'],accessory work 2; accessory work; strength 1; strength; stamina; strongman,1,1,0,2,920,598b0e98332cef000f6b5f70,Weight (Actual),
,Bear Crawl Sled Drag,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/-9jarYymKT8,sled,,Seconds; Minutes; Meters,['equipment: sled'],conditioning; strength 1; strength 4; strength; stamina,1,1,0,2,892,597b422fc3db3e000f717936,Weight (Actual),
,Bear Crawls,exercise includes bear crawl with sandbag drag. This should be a separate movement,,,,,strength_endurance,,,,,,,,,https://youtu.be/_W2OfOAlmUs,,,Seconds; Meters; Minutes; Feet; Yards; Reps; Time,[],strength 1; movement work; recovery protocol; pistol - outside the waistband; recovery work; assisted work; neuro adaptation; recovery day; mobility work; warm-up/movement prep; carbine; crawls and carries; recovery protocol basecamp; stamina 1; pistol - concealed carry; strength; warm up/movement prep; stamina; accessory work; recovery; suns out guns out; devils quarter mile; cyclic work; movement flow/breathing protocol; devil's mile; loco motion; movement work 1; correctives; movement flow; warm-up; strength 2; movemental flow; warm-up / movement prep,1,1,0,2,189,57e2fd3a4c6a031dc777e8e6,Weight (Actual),
,Bear Hug Plate Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/LUdxdcbSugg,plate,,Meters,['basic_exercise: carry'],strength 2,1,0,0,1,1959,5d68c8f6ebe7d40011d0151a,Weight (Actual),
,Bear Hug Squats with Sandbag,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/P9d86Zpf-Cc,sandbags,,Reps; Time; Seconds; Meters,"['equipment: sandbags', 'basic_functional_movement: squat']",stamina 3; carbine; recovery; accessory work; strength 3; strongman; sand-baby murph; baby murph; strength 2; strength; stamina; stamina 2,1,1,0,2,123,57e2fd3a4c6a031dc777e8a1,Weight (Actual),
,Bear to Crab Turn,,,,,,flexibility,,,,,,,,,https://youtu.be/7PRf6Hopx8o,,,Reps,[],recovery protocol,0,0,0,0,1295,5b0f03c91d38c4000feec241,#N/A,
,Behind the Neck Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Ha4DQHn8UD8,barbells,,Reps,[],movement primer; strength 3,1,0,0,1,1293,5b0c4ab13eac7a000f73a3ef,Weight (Actual),
,Behind the Neck Push Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/O_bfezrhgH4,barbells,,Reps,['olympic_lift: push press'],strength 2; strength 1; movement primer,1,0,0,1,14,57e2fd3a4c6a031dc777e82b,Weight (Actual),
,Behind the Neck Strict Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/EUK-YECapp8,barbells,,Reps,[],warm-up/movement prep; accessory work; strength 1; mobility; warm-up; down regulation breathing; strength 2; strength; neuro adaptation; mobility work; warm-up / movement prep,1,0,0,1,775,58e6a87e1bca59000f9b6399,Weight (Actual),
,Belly Sprint,"start in prone position, get up and sprint",,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/u0QGlNlMR9A,,,Yards; Meters,['basic_functional_movement: sprint'],accessory stamina; stamina 1; sprint work; stamina part 1; stamina; stamina 2,0,1,0,1,216,57e2fd3a4c6a031dc777e905,Weight (Actual),x
,Below the Knee Rack Deadlits,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/q6shO5gEK1w,barbells,,Reps,[],strength 2,1,0,0,1,1656,5c5fb5a782c07a00126c9a38,Weight (Actual),
,Belt Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/oLhEYlTjXyQ,dip_belt,,Reps,['basic_functional_movement: squat'],accessory work; strength 1; strength 3; strength 2; strength,1,0,0,1,254,57e2fd3a4c6a031dc777e933,Weight (Actual),
,Bench Dips,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/c3ZGl4pAwZ4,,,Reps,['basic_exercise: dips'],accessory work 2; accessory work; suns out guns out; stamina; calisthenics,0,1,0,1,94,57e2fd3a4c6a031dc777e882,Weight (Actual),x
,Bench Hip Press with Deficit,,,,,,,,,,,,,,,https://youtu.be/k63BLKFhR4c,,,Reps,[],strength 1,1,0,0,1,1745,5c9f78edcc3ad8000f1976d8,#N/A,
,Bench Plyo Push-Ups,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/g9Mjpc36XTA,,,Reps,['basic_exercise: push-ups'],accessory work 1; stamina; strength; plyometrics,1,1,1,3,1371,5b8ab0805e9be5000f52dfab,Weight (Actual),x
,Bench Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/mej8A3EkZ5Y,barbells,,Reps; Minutes; Time; Seconds,['basic_exercise: bench press'],powerlifting; strength 1; sunâ€™s out guns out (accessory work); weight circuit; strength and stamina; neuro adaptation; stamina 2; stamina and strength; stamina 3; strength work; soflete rx'd; soflete performance; upper body pt/strength; soflete fitness; stamina 1; stamina & strength; giantset; strength; reverse pyramid; powerlifting 1; stamina; suns out gun out; suns out guns out; strength 3; soflete rx'd/performance; strength (no weight vest); strength 4; stamina option 1; powerlifting 2; movement flow; strength 2; strength/mobility; stamina/strength 2,1,1,0,2,255,57e2fd3a4c6a031dc777e934,Weight (1RM),
,Bent Arm Rope Hang,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=pEzfe-owsFM,,,Reps; Inches; Time,[],weapons development; gymnastics,0,0,0,0,918,5989df53fd7558000f80ea78,#N/A,
,Bent Knee End Range Hip Flexion Left Off,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=2VuJZ77-hB4,,,,['movement direction - plane: sagittal'],,0,0,0,0,582,586292b84d0fec0011c02e15,#N/A,
,Bent Knee Hollow Rock Hold,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=jMSwEOzscEY,,,Seconds; Reps; Minutes; Time,[],strength work; accessory work; warm-up/movement prep; accessory work 2; strength 3; trunk work 2; weapons development; warm-up; stamina; trunk work; gymnastics; assisted work; warm-up / movement prep; warm-up/movement work; assistance work; core,1,1,0,2,766,58de65f1b09811000fafa8ae,#N/A,
,Bent Knee Hollow Rock to Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Zi__FwMFeO0,,,,['basic_functional_movement: squat'],,0,0,0,0,944,59c2c4e4546031000fe87007,#N/A,
,Bent Over Banded Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/NY-0T5NADFI?t=26,resistence_bands,,Reps,['equipment: rower'],warm-up/movement prep; strength 2; strength 3,1,0,0,1,1784,5cb7d43cfce115001245c9b3,#N/A,
,Bent Over Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/AdLKRGFExwg,dumbbells,,Reps,"['equipment: dumbbells', 'equipment: rower']",strength work; accessory work; suns out gun out; suns out guns out; warm-up/movement prep; strength 3; warm-up; strength 2; strength; stamina,1,1,0,2,256,57e2fd3a4c6a031dc777e935,Weight (Actual),
,Bent Over Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=gQBSRBgRLVI,dumbbells,,Reps; Seconds,['equipment: rower'],warm-up/movement prep; accessory work; strength work; suns out guns out; strength 1; strength 3; prehab/dynamic warm up; warm-up; stamina; strength 4; strength 2; upper body pt/strength; giantset; strength; sun's out guns out (accessory work); warm-up / movement prep; strength/mobility; assistance work,1,1,0,2,257,57e2fd3a4c6a031dc777e936,Weight (Actual),
,Bent Press,"leaned over laterally, overhead-ish press",,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=joKOFPFJp-s,kettlebells,,Reps,[],strength,1,0,0,1,1098,5a46edf8ab889d000f52fca4,Weight (Actual),
,Bi Lateral Depth Jump to Single Leg Landing,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=bpTBIB4WtTw,,,,"['basic_exercise: depth jumps', 'body position: single leg standing', 'movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: jump']",,0,0,0,0,258,57e2fd3a4c6a031dc777e937,#N/A,
,Bi Lateral to Bi Lateral 1/4 Jump Squat,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=hS6PEGGnN2k,,,,"['movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: jump', 'basic_functional_movement: squat']",,0,0,0,0,259,57e2fd3a4c6a031dc777e938,#N/A,
,Bi Lateral to Split 1/4 Jump Squat,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=-LtX3z4I8fM,,,,"['movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: jump', 'basic_functional_movement: squat']",,0,0,0,0,260,57e2fd3a4c6a031dc777e939,#N/A,
,Bicep Self Myofascial Release,,,,,,,,,,,,,,,https://youtube.com/watch?v=PNrGKC0dA7A,,,Minutes,[],recovery protocol; mobility,0,0,0,0,676,588a1b4365dcf3000f9123e9,#N/A,
,Bicycle Sit-Ups,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=S0jsxhdWjvo,,,Time,[],warm-up / movement prep,0,0,0,0,795,590289babbd5d5000f5635f9,#N/A,
,Bird Dog,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=k2azbhhuKuM,,,Reps; Time; Seconds,[],warm-up/movement prep; accessory work; strength work; movement flow; accessory work 2; prehab/dynamic warm-up; prehab/dynamic warm up; breathing work; warm-up; accessory work 3; recovery protocol; accessory work 4; warm up/movement prep; correctives; warm-up / movement prep; stamina; core,1,1,0,2,143,57e2fd3a4c6a031dc777e8b7,#N/A,
,Birds,,,,,,,,,,,,,,,https://youtu.be/WngDMILzm2Q,,,Reps,[],cool down; stretch; mobility; stamina/strength 3; stamina/strength 1; cool down/stretch; strength; strength/mobility; stretch/recovery; stamina/strength 2,1,1,0,2,865,59633be16bdcf5000f76d74a,#N/A,
,Boat Pose,,,,,,flexibility,,,,,,,,,https://youtu.be/8KsyQvwi85Q,,,Time,[],mobility work,0,0,0,0,1182,5aac7c42b678c5000fdce9c2,#N/A,
,Bootstrappers,,,,,,,,,,,,,,,https://youtu.be/nQCxfCD4MHU,,,Reps,[],warm-up/movement prep; warm-up / movement prep; warmup/movement prep,0,0,0,0,1400,5ba49a8cf5c3eb000f36f137,Weight (Actual),
,Bottom of Ring Hold,,,,,,,,,,,,,,,https://youtu.be/Z1MeheQ4Bzg,,,Reps; Time; Seconds,[],accessory work; movement flow; weapons development 2; weapons development; gymnastics; stamina,0,1,0,1,976,59cc47c5546031000fe95a15,#N/A,
,Bottom of Squat Hold,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=zL4OMUBsCpU,,,Seconds; Reps; Minutes; Time,['basic_functional_movement: squat'],accessory work 2; cool down; recovery protocol 1; recovery protocol 4; recovery protocol; mobility work; movement / breathing,0,0,0,0,1301,5b115d911d38c4000fef1769,#N/A,
,Bottom Position Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=vmUCquVG3pM,,,Minutes,['basic_functional_movement: squat'],mobility work; recovery protocol,0,0,0,0,261,57e2fd3a4c6a031dc777e93a,#N/A,
