Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action
,,Strength Component Actions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,postural stabilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,prone plank stabilization,,,,,,,,strength_endurance,,prone,double_arm,bilateral,0,1,2,90.57,100,TRUE,no_speed,FALSE,,isometric,1,hip flexion,2,knee extension,3,ankle dorsiflexion,1,Trunk Flexion,2,Shoulder Extension,,
2304_a,,"move weight from floor, to the side, to above the head","floor, side, above head",,,,,,,strength_integrated_resistance,,double_leg,double_arm,bilateral,2,0,0,9.43,30,TRUE,no_speed,FALSE,,concentric,1,hip extension,2,knee extension,,,1,Trunk Extension w/ Rotation,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Flexion",,
2304_b,,,"above head, side, floor",,,,,,,strength_integrated_resistance,,double_leg,double_arm,bilateral,2,0,0,9.43,30,TRUE,no_speed,FALSE,,eccentric,1,hip flexion,2,knee flexion,,,1,Trunk Flexion with Rotation,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",,
2305_a,,move weight from floor to above the head,"floor, above head",,,,,,,strength_integrated_resistance,,double_leg,double_arm,bilateral,2,0,0,9.43,30,TRUE,no_speed,FALSE,,concentric,1,hip extension,2,knee extension,,,1,Trunk Extension,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Flexion",,
2305_b,,,"above head, floor",,,,,,,strength_integrated_resistance,,double_leg,double_arm,bilateral,2,0,0,9.43,30,TRUE,no_speed,FALSE,,eccentric,1,hip flexion,2,knee flexion,,,1,Trunk Flexion,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",,
,,Plyometric Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001_a,,squat jump,squat jump take off,,,,,,,power_action_plyometrics,,double_leg,,bilateral,2,1,2,100,100,TRUE,high_force,TRUE,,concentric,1,hip extension,2,knee extension,,,,,,,,
