,,,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,,quantity of stabilization intensity,,,quantity of power intensity,,,movement characterization to select action,,,,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,youtube_link,,,primary_actions,secondary_actions,bilateral_distribution_of_resistance,,surface_stability,external_weight_implement,,resistance,speed,,training_type,strength_resistance_action,strength_endurance_action,power_drill_action,power_action,cardio_action,,equipment,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
Med Ball Chest Pass,Med Ball Chest Pass,,https://www.youtube.com/watch?v=vCYQQb0AzQg,,,"3100_a, 3100_b",,bilateral,,stable,medicine_balls,,mod_resistance,speed,,power_action_plyometrics,,,,throw,,,medicine_balls,Seconds; Meters; Minutes; Feet; Reps,[],movement flow; accessory work; strength 1; prehab/dynamic warm up; plyometrics; warm-up; strength 2; dynamic warm-up; strength; accessory work 1; stamina 2,1,1,1,3,585,586540fd4d0fec0011c031a4,Weight (Actual),
"Med Ball Slams, lift with rotation",Around the World Ball Slams,"med ball from overhead to slam, raise ball on side (rotate trunk, lift usin",https://youtu.be/AyF-bh__iEA,,,3103,2304_a,bilateral,,stable,medicine_balls,,mod_resistance,max_speed,,power_action_plyometrics,,,,throw,,,medicine_balls,Reps; Time,[],stamina 3; accessory work; strength 1; plyometrics; mixed modal; strength; stamina; stamina 2,1,1,1,3,388,57e2fd3b4c6a031dc777e9bd,Weight (Actual),
Med Ball Slam,Ball Slam,,https://youtu.be/33InwTVwVc8,,,3103,2305_a,bilateral,,stable,medicine_balls,,mod_resistance,max_speed,,power_action_plyometrics,,,,throw,,,medicine_balls,Reps; Minutes; Time; Seconds,[],recovery; accessory work; strength 3; plyometrics; warm-up; assistance work; stamina 1; stamina 2; mb throws complex; strength; mobility work; neuro adaptation; stamina; stamina 3,1,1,1,3,193,57e2fd3a4c6a031dc777e8eb,Weight (Actual),
Explosive Burpee,Athletic Burpee,burpee,https://youtu.be/bJ_fogiPvnU,,,"3001_a, 3001_b, 3020_a, 3020_b, 3020_c, 3020_d",1004,bilateral,,stable,,,mod_resistance,max_speed,,power_action_plyometrics,,,,jump,,,no_equipment,,[],,0,0,0,0,226,57e2fd3a4c6a031dc777e913,#N/A,
Clapping Push Ups,Clapping Push-Ups,,https://www.youtube.com/watch?v=EYwWCgM198U,,,"3021_a, 3021_b",1004,bilateral,,stable,,,low_resistance,max_speed,,power_action_plyometrics,,,,jump,,,,Seconds; Reps,['basic_exercise: push-ups'],warm-up/movement prep; accessory work; strength 3; plyometrics; accessory work 1; stamina,1,1,1,3,819,59271bd3d8d39b000f703a5a,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Bench Press,Dumbbell Bench Press,,,,,"2400_a, 2400_b",,bilateral,,stable,dumbbells,,,,,strength_integrated_resistance,,,,,,,dumbbells,Reps; Seconds,"['basic_exercise: bench press', 'equipment: dumbbells']",accessory work; suns out guns out; strength 1; strength 3; strength 4; strength 2; assistance work; stamina 1; strength; stamina,1,1,0,2,41,57e2fd3a4c6a031dc777e847,Weight (Actual),
Incline Bench Press,Incline Bench Press,,https://www.youtube.com/watch?v=DbFgADa2PL8,,,"2401_a, 2401_b, 2401_c, 2401_d",,bilateral,,stable,barbells,,,,,strength_integrated_resistance,,,,,,,barbells,Reps,['basic_exercise: bench press'],accessory work; powerlifting; strength 1; strength 2; powerlifting 2; strength; powerlifting 1; assistance work,1,0,0,1,43,57e2fd3a4c6a031dc777e849,Weight (2RM),
Bent Over Row,Bent Over Row,,https://youtube.com/watch?v=gQBSRBgRLVI,,,"2402_a, 2402_b, 2402_c",,bilateral,,stable,barbells,,,,,strength_integrated_resistance,,,,,,,barbells,Reps; Seconds,['equipment: rower'],warm-up/movement prep; accessory work; strength work; suns out guns out; strength 1; strength 3; prehab/dynamic warm up; warm-up; stamina; strength 4; strength 2; upper body pt/strength; giantset; strength; sun's out guns out (accessory work); warm-up / movement prep; strength/mobility; assistance work,1,1,0,2,257,57e2fd3a4c6a031dc777e936,Weight (Actual),
Dips,Weighted Dip,,https://youtu.be/2i3o0bFZT_s,,,"2403_a, 2403_b, 2403_c, 2403_d, 2403_e, 2403_f, 2403_g ",,bilateral,,stable,dip_belt,,,,,strength_integrated_resistance,,,,,,,,Reps; Time,['basic_exercise: dips'],accessory work 2; accessory work; strength work; suns out guns out; accessory 2; strength 1; sunâ€™s out guns out (accessory work); weapons development; dips; new blank section #1; strength 2; strength 5; strength; accessory work 1,1,0,0,1,519,58459d00dc2ce90011f93d81,Weight (3RM),
Clean and Jerk,Clean & Jerk,,https://www.youtube.com/watch?v=q9HbsciMSJU,,,"2405_a, 2405_b,2405_c,2405_d,2405_e,2405_f,2405_g,2405_g,2405_i,2405_j,2405_k",,bilateral,,stable,barbells,,high_resistance,max_speed,,strength_integrated_resistance,olympic_lift,,,,,,,Reps,[],strength 1; strength 3; soflete rx'd; soflete performance; warm-up; conditioning 2; weightlifting; weightlifting 1; strength 2; soflete fitness; stamina 1; conditioning 1; strength; weightlifting 2; stregth 2; stamina,1,1,0,2,686,588d2e3aba4bcd000fd7b5f2,Weight (Actual),
Dumbbell Lunge,Dumbbell Reverse Lunge,,https://youtu.be/qYGzE8Uou7E,,,"2404_a, 2404_b, 2404_c",,bilateral,,stable,dumbbells,,,,,strength_integrated_resistance,,,,,,,dumbbells,Reps,"['equipment: dumbbells', 'basic_functional_movement: lunge']",accessory work 2; accessory work; strength 1; strength 3; strength 2,1,0,0,1,1738,5c9cefebcc3ad8000f18e06b,Weight (Actual),
