section,movement,activity,duration,pace,incline,distance,reps,equipment,stroke_rate
warmup,5873d05eb06dc50011d08796,walk,60,,1,,,,
warmup,5823768d473c06100052ed9a,run,240,base,0,,,,
warmup,58459d9ddc2ce90011f93d84,row,180,,,,,,24
tread1,5823768d473c06100052ed9a,run,60,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,60,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,60,,,,,,
tread1,5823768d473c06100052ed9a,run,60,push,0,,,,
tread1,5823768d473c06100052ed9a,run,60,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,90,,,,,,
tread1,5823768d473c06100052ed9a,run,45,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,45,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,60,,,,,,
tread1,5823768d473c06100052ed9a,run,45,push,0,,,,
tread1,5823768d473c06100052ed9a,run,45,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,120,,,,,,
tread1,5823768d473c06100052ed9a,run,30,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,30,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,60,,,,,,
tread3,5823768d473c06100052ed9a,run,30,push,0,,,,
tread3,5823768d473c06100052ed9a,run,30,all_out,0,,,,
tread1,5873d05eb06dc50011d08796,walk,120,,,,,,
tread3,5823768d473c06100052ed9a,run,30,push,0,,,,
tread3,5823768d473c06100052ed9a,run,30,all_out,0,,,,
rest,,rest,90,,,,,,
rest,,rest,120,,,,,,
floor1,58459d9ddc2ce90011f93d84,row,30,,,,,,24
floor1,57e2fd3a4c6a031dc777e847,chest press,,,,,8,dumbbell,
floor1,57e2fd3a4c6a031dc777e849,power situp,,,,,8,bodyweight,
floor1,57e2fd3a4c6a031dc777e849,pull up,,,,,8,strap,
floor1,57e2fd3a4c6a031dc777e847,chest press,,,,,8,dumbbell,
floor1,57e2fd3a4c6a031dc777e849,power situp,,,,,8,bodyweight,
floor1,57e2fd3a4c6a031dc777e849,pull up,,,,,8,strap,
floor1,58459d9ddc2ce90011f93d84,row,30,,,,,,24
floor1,57e2fd3a4c6a031dc777e913,uppercut,,,,,8,dumbbell,
floor1,59271bd3d8d39b000f703a5a,bench plank s/a low row,,,,,16,dumbbell,
floor1,57e2fd3a4c6a031dc777e847,chest fly,,,,,8,dumbbell,
floor1,57e2fd3a4c6a031dc777e913,uppercut,,,,,8,dumbbell,
floor1,59271bd3d8d39b000f703a5a,bench plank s/a low row,,,,,16,dumbbell,
floor1,57e2fd3a4c6a031dc777e847,chest fly,,,,,8,dumbbell,
rest,,rest,120,,,,,,
floor2,59271bd3d8d39b000f703a5a,power pushup,,,,,6,bodyweight,
floor2,57e2fd3a4c6a031dc777e936,hip hinge reverse fly,,,,,10,dumbbell,
floor2,57e2fd3a4c6a031dc777e936,s/a low row,,,,,12,strap,
floor2,58459d9ddc2ce90011f93d84,row,45,,,150,,,24
rest,,rest,180,,,,,,
flexibility,,standing chest stretch,40,,,,,,
flexibility,,Standing Static Tricep Stretch,40,,,,,,
flexibility,,Seated Shoulder Stretch,40,,,,,,
flexibility,,Seated Body Twist,40,,,,,,
