Numeric ID	SOFlete ID	Display Name	Exercise	Descriptions	PHASE	Muscle Group / Joint	Muscle	Inhibit	Static Lengthen	Active Lengthen	Dynamic Lengthen	Activate	Static Integrate	Dynamic Integrate	DOSAGE	min Sets	max Sets	min Reps	max Reps	Bilateral (Y/N)	Progression Interval (e.g. 2 reps)	Progression Cadence (e.g. 2 exposures)	Minimum Exposures to Maintain Stage	Unit of Measure for Reps	Rest Between Sets (seconds)	Time Per Set (seconds)	Time Per Rep (seconds)	Progresses To	MISC.	Technical Difficulty	Equipment Required	Present in Fathom Mapping Logic	Present in SOFlete Mapping Logic
id	soflete_id	display_name	name	description	phase	muscle_group_joint	muscle	inhibit	static_lengthen	active_lengthen	dynamic_lengthen	activate	static_integrate	dynamic_integrate	dosage	min_sets	max_sets	min_reps	max_reps	bilateral	progression_intervals	exposure_target	exposure_minimum	unit_of_measure	rest_between_sets	time_per_set	time_per_rep	progress_to	misc	technical_difficulty	equipment_required	present_in_fathom_mapping_logic	present_in_soflete_mapping_logic
78		Standing Calf Raises (Elevated Surface)	Calf Raise on Raised Surface			Calves; Achilles						i				1	3	10	12	N	2	5	3	count	0		2	68		Beginner	Raised Surface	x	
79		Posterior Pelvic Tilt	Posterior Pelvic Tilt			Abs; Lower Back						i				1	3	10	12	N	2	5	3	count	0		2	80		Beginner	None	x	
80																																	
81		Clam Shells (On Side)	Bent Knee Hip External Rotation (On Side)			Glutes						i				1	3	10	12	Y	2	8	5	count	0		2	82		Beginner	None	x	
82		Banded Lateral Walks	Lateral Walks									x				1	2	10	15	Y	2	8	5	count	0		2	83		Beginner	Band		
83		Banded Monster Walks	Monster Walks									x				1	2	10	15	Y	2	8	5	count	0		2	110		Beginner	Band		
84		Dead Bugs	Supine Arm/Leg Raise - Dying Bugs			Abs						i				1	3	10	12	N	2			count	0		2			Beginner	None	x	
85		Plank (on Knees)	Prone Plank on Knees									x				1	2	30	30	N	2	8	5	seconds	0	30		86		Beginner	None		
86		Plank	Prone Plank on Toes									x				1	3	30	30	N	2	8	5	seconds	0	30		87		Beginner	None		
87		Plank with Kickbacks	Prone Plank Leg Lift									x				1	2	10	15	Y	2	8	5	count	0		3	88		Beginner	None		
88		Mountain Climbers	Prone Plank Knee to Chest									x				1	2	10	15	Y	2			count	0		3			Beginner	None		
89		Side Plank (Knees Bent)	Side Plank Knees Bent									x				1	3	30	30	Y	2	8	5	seconds	0	30		90		Beginner	None		
90		Side Plank	Side Plank Knees Straight									x				1	3	30	30	Y	2	8	5	seconds	0	30		91		Beginner	None		
91		Side Plank (Knees Bent) w/ Leg Lifts	Side Plank Knees Bent Leg Lifts									x				1	2	10	15	Y	2	8	5	count	0		3	92		Beginner	None		
92		Side Plank with Leg Lifts	Side Plank Knees Straight Leg Lifts									x				1	2	10	15	Y	2			count	0		3			Beginner	None		
93		Wall Sit With Resistance	Wall Sit With Resistance										x			1	2	30	60	N	0			seconds	0	30				Intermediate	Band		
94		Wall Sit With Weight	Wall Sit With Weight										x			1	2	30	60	N	0			seconds	0	30				Intermediate	Dumbells; Weighted Plate; Kettle Bell		
95		Step-Ups to Overhead Press	Step-Ups to Overhead Press										x			1	2	10	15	Y	2			count	0					Intermediate	Dumbells		
96		Lunges to Overhead Press	Lunges to Overhead Press										x			1	2	10	15	Y	2			count	0					Intermediate	Dumbells		
97		Single-Leg Squat to Overhead Press	Single-Leg Squat to Overhead Press										x			1	2	10	15	Y	2			count	0					Advanced	Dumbells		
98		Lying Abdominal Stretch (Cobra)	Cobra Abdominal Stretch			Pecs; Abs			s							1	2	30	45	N	0			seconds	0		1			Beginner	None	x	
99		Double Leg Squat with Overhead Press	Double Leg Squat with Overhead Press										x			1	2	10	15	Y	2			count	0					Intermediate	Dumbells		
100		Double Leg RDL	Double Leg RDL										x			1	2	10	15	Y	2			count	0					Intermediate	Dumbells		
101		Single Leg RDL	Single Leg RDL										x			1	2	10	15	Y	2			count	0					Intermediate	Dumbells		
102		Foam Roll - Upper Back	Foam Roller - Erector Spinae			Upper B/T/N		i								1	2	30	60	N	0			seconds	0		1			Beginner	Foam Roller	x	
103		Child's Pose (Arms Straight)	Child's Pose Arms Straight			Triceps; Upper B/T/N; Lats; Lower Back			s							1	2	30	45	N	0	3	1	seconds	0		1	104		Beginner	None	x	
104		Child's Pose (Arms to Side)	Child's Pose to Side			Triceps; Upper B/T/N; Lats; Lower Back			s							1	2	30	45	Y	0			seconds	0		1			Beginner	None	x	
105		4-Way Ankle Holds	4-Way Ankle Isometrics													1	2	60	60	Y	0	3	1	seconds	0	60		113		Beginner	Towel		
106		4-Way Ankle Mobility	4-Way Ankle Mobility			Foot						i				1	2	10	15	N	0	3	1	count	0		5	105		Beginner	None	x	
107		Combined Ankle Resistance	Compound Resisted Ankle									x				1	2	120	120	Y	0			seconds	0	120				Beginner	Towel/Band		
108		Glute Activation Extensions	Glute Max Activation									x				1	2	10	15	Y	0	5	3	count	0		4	124		Beginner	None		
109																																	
110		Banded Clam Shells (On Side)	Bent Knee Hip External Rotation (On Side)									x				1	2	10	15	Y	2			count	0		2			Beginner	Band		
111																																	
112																																	
113		4-Way Ankle Strengthening (Banded)	4-Way Ankle Resistance									x				1	2	120	120	Y	0			seconds	0	120				Beginner	Towel/Band		
114		4-Way Ankle Holds (Towel)	4-Way Ankle Isometrics (Towel)			Foot						i				1	2	10	15	Y	0	3	1	count	0		3	65		Beginner	Towel	x	
115		Ankle Pumps	Ankle Pumps													1	2	12	15	Y	3	3	1	count	0		2	114		Beginner	None		
116		Knee Hugs	Knee Hugs			Glutes; Hamstrings			d							1	2	10	12	N	2			count	0		3			Beginner	None		
117		Hip Cradles	Hip Cradles			Glutes; Hamstring; IT-Band 			d							1	2	10	12	N	2			count	0		3			Beginner	None		
118		Standing Quads Stretch	Standing Quads Stretch			Quads			s							1	2	30	45	Y	2			seconds	0		1			Beginner	None	x	
119		Dynamic Runner Lunges	Dynamic Runner Lunges			Glutes; Quads						i				1	2	10	15	Y	0			count	0		2			Beginner	None	x	
120		Crab Reaches	Crab Reaches									x				1	2	10	12	Y	2			count	0		2			Beginner	None		
121		Seated Forward Fold	Seated Forward Fold			Hamstrings			s							1	2	30	45	N	0			seconds	0		1			Beginner	None	x	
122		Lateral Hip Openers	Lateral Hip Openers			Groin			a							1	2	5	10	N	2			count	0		3			Beginner	None	x	
123																																	
124		Banded Glute Extensions	Banded Glute Max Activation									x				1	2	10	15	Y	2			count	0		2			Beginner	Band		
125		Posterior Neck Release	Foam Roller - Levator Scapulae			Upper B/T/N		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Ball	x	
126		Upper Back Release	Foam Roller - Upper Trapezius			Upper B/T/N		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Ball	x	
127		Neck Flexion Stretch	Upper Trap Static Stretch			Upper B/T/N			s							1	3	30	45	N	0			seconds	0		1			Beginner	None	x	
128		Sidebending Neck Stretch	SCM Static Stretch			Upper B/T/N			s							1	3	30	45	Y	0			seconds	0		1			Beginner	None	x	
129		Diagonal Neck Stretch	Cervical Rotator Static Stretch			Upper B/T/N			s							1	3	30	45	Y	0			seconds	0		1			Beginner	None	x	
130		Cross Body Arm Stretch	Posterior Deltoid Static Stretch			Shoulder			s							1	3	30	45	Y	0			seconds	0		1			Beginner	None	x	
131		Neck Flexion/Extension	Cervical Flexion/Extension			Upper B/T/N			a							1	2	5	10	N	2			count	0		2			Beginner	None	x	
132		Neck Sidebending	Cervical Sidebending			Upper B/T/N			a							1	2	5	10	Y	2			count	0		2			Beginner	None	x	
133		Neck Rotation	Cervical Rotation			Upper B/T/N			a							1	2	5	10	Y	2			count	0		2			Beginner	None	x	
134		Chin Tucks	Cervical Retraction			Upper B/T/N						i				1	2	10	15	N	2			count	0		2			Beginner	None	x	
135		Scapular Squeezes	Scapular Retraction			Shoulder; Upper B/T/N						i				1	2	10	15	N	2	8	5	count	0		2	136		Beginner	None	x	
136		Prone Floor Arm Raises	Lower Trapezius Prone Floor Scaption			Shoulder; Upper B/T/N						i				1	2	10	12	N	2	8	5	count	0		2	138		Beginner	None	x	
137		Shoulder Shrugs	Scapular Elevation			Shoulder; Upper B/T/N						i				1	2	10	12	N	2			count	0		2			Beginner	None	x	
138		YTWs	YTWs									x				1	2	10	12	N	2			count	0		4			Beginner	None		
139		Walking Hamstring Scoops	Walking Hamstring Scoops			Hamstrings; Calves; Lower Back			d							1	1	10	15	N	0			yards	0		3			Beginner	None	x	
140		Knee Hug to Lunge with Reach	Knee Hug to Lunge with Reach			Glutes; Hamstrings; IT-Band; Abdominals			d							1	1	10	15	N	0			yards	0		3			Beginner	None	x	
141		Walking Superman	Walking Superman			Quads; Hip;			d							1	1	10	15	N	0			yards	0		3			Beginner	None	x	
142		Hurdle Walks (In)	Hurdle Walks (In)			Hip; Groin; IT-Band			d			i				1	2	10	15	N	0			count	0		3			Beginner	None	x	
143		Hurdle Walks (Out)	Hurdle Walks (Out)			Hip; Groin; IT-Band			d			i				1	2	10	15	N	0			count	0		3			Beginner	None	x	
144		Leg Overs	Iron Cross			IT-Band; Groin			d							1	1	10	15	N	0			count	0		3			Beginner	None	x	
145		Mini Skips	Mini Skips										d			1	1	10	15	N	0			yards	0		3			Beginner	None	x	
146		Skips for Height	Skips for Height										d			1	1	10	15	N	0			yards	0		3			Beginner	None	x	
147		Butt Kicks	Butt Kicks										d			1	1	10	15	N	0			yards	0		3			Beginner	None	x	
148		Lateral Shuffles	Lateral Shuffles										d			1	1	10	15	Y	0			yards	0		3			Beginner	None	x	
149		Carioca	Carioca										d			1	1	10	15	Y	0			yards	0		3			Beginner	None	x	
150		Backward Run	Backward Run										d			1	1	10	15	N	0			yards	0		3			Beginner	None	x	
151		High Knees	High Knees										d			1	1	10	15	N	0			yards	0		3			Beginner	None	x	
152		Ice Skaters	Ice Skaters													1	1	12	12	N	0			count	0		3			Beginner	None	x	
153		Continuous Jumps	Continuous Jumps													1	1	10	10	N	0			count	0		3			Beginner	None	x	
154		Long Jump	Long Jumps													1	1	5	5	N	0			count	0		5			Beginner	None	x	
155		Triple Hop to Stabilization	Triple Hop to Stabilization													1	1	3	3	Y	0			count	0		15			Beginner	None	x	
156		Weaving	Weaving													1	1	12	12	N	0			yards	0		3			Beginner	None	x	
157		Box Drill	Box Drill													1	1	2	2	N	0			count	0		30			Beginner	None	x	
158		Field Sprints	Field Sprints													1	1	3	3	N	0			count	0		30			Beginner	None	x	
159		Field Bounds	Field Bounds													1	1	3	3	N	0			count	0		30			Beginner	None	x	
160		Plant & Cuts	Plant & Cuts													1	1	3	3	N	0			count	0		30			Beginner	None	x	
161		Leg Swings	Leg Swings			Glutes; Hamstrings; IT-Band; Groin; Quads; Hip			d							1	1	10	15	Y	0			count	0		3			Beginner	None	x	
162		Running Arm Circles	Running Arm Circles			Shoulder; Biceps; Triceps; UpperBack; Pecs; Lats			d							1	1	10	15	N	0			yards	0		3			Beginner - Tier 2	None	x	
163		Low Lateral Squat	Low Lateral Squat			Glutes; Hamstrings; IT-Band; Groin; Quads; Hip			d							1	1	10	15	N	0			count	0		3			Beginner - Tier 2	None	x	
164		Lunge with Rotation	Lunge with Rotation			Glutes; Hamstrings; Lats; Groin			d							1	1	10	15	N	0			yards	0		3			Beginner	None	x	
165		Reverse Lunge with Reach	Reverse Lunge with Reach			Groin; Pecs; Abdominals			d							1	1	10	15	N	0			yards	0		3			Beginner - Tier 2	None	x	
166		Quick Stance Changes	Quick Stance Changes													1	1	30	30	Y	0			seconds	0	30				Beginner	None	x	
167		Lateral Dives																															
168		Ankle Poppers	Ankle Poppers													1	1	30	30	N	0			seconds	0	30				Beginner	None	x	
169		Star Jumps	Star Jumps										d			1	1	10	15	N	0			count	0		3			Beginner	None	x	
170		DL Lateral Jumps	DL Lateral Jumps													1	1	15	15	Y	0			count	0		3			Beginner	None	x	
171		Single Leg Hop to Balance	Single Leg Hop to Balance													1	1	12	12	Y	0			yards	0		3			Beginner	None	x	
172		X Drill	X Drill													1	1	2	2	N	0			count	0		30			Beginner	None	x	
173		N Drill	N Drill													1	1	2	2	N	0			count	0		30			Beginner	None	x	
174		Bear Crawls	Bear Crawls													1	1	12	12	N	0			yards	0		3			Beginner	None	x	
175		Knee Hugs	Knee Hugs			Glutes; Hamstrings; Groin			d							1	1	10	10	N	0			count	0		3			Beginner	None		
176		Quad Stretch w/ Toe Raise	Quad Stretch w/ Toe Raise			Quad			d							1	1	10	15	N	0			count	0		3			Beginner	None	x	
177		Frankensteins	Frankensteins			Glutes; Hamstring; Calves			d							1	1	10	15	N	0			count	0		3			Beginner	None	x	
178		Scorpions	Scorpions			Groin; Quad; Hip; Core Stabilizers; Abdominals			d							1	1	10	15	N	0			count	0		3			Beginner	None	x	
179		Hip Circles	Hip Circles			Hip; Groin; IT-Band			d							1	1	10	15	N	0			count	0		3			Beginner	None	x	
180		Lateral Lunge with Arm Raise	Lateral Lunge with Arm Raise			Glutes; Hamstrings; IT-Band; Groin; Quads; Hip; Pecs, Abdominals; Core Stabilizers			d							1	1	10	15	N	0			count	0		3			Beginner - Tier 2	Towel/Band	x	
181		Trunk Sidebending with Arm Raise	Trunk Sidebending with Arm Raise			Abdominals; IT-Band; Hip; Pecs; Core Stabilizers			d							1	1	10	15	N	0			count	0		3			Beginner	Towel/Band	x	
182		Squats with Toe Raise	Squats with Toe Raise										d			1	1	10	15	N	0			count	0		3			Beginner	None	x	
183		Jumping Lunges	Jumping Lunges										d			1	1	10	15	N	0			count	0		3			Beginner	None	x	
