name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
3 Cone Reaction Drill,,speed_agility_quickness,,,,,,https://youtu.be/NeY5LCmDQgI,[],stamina,0,1,0,,1,Time,746,58bacf5fe8f951000fbfe4eb
3 Hops + Run,,,,,,,,,"['equipment: running', 'basic_functional_movement: run', 'basic_functional_movement: jump']",,0,0,0,,0,,1714,5c7d600431c07b000f591edb
3 Point Dumbbell Row,,,,dumbbells,,,,https://youtu.be/OqeOK6sfmxA,"['equipment: dumbbells', 'equipment: rower']",accessory work 1; accessory work; suns out guns out; strength 4; strength 2; strength accessory,1,0,0,,1,Reps,591,586a8723c04a4e0010871323
3 Position Clean and Jerk,,olympic_lifting,,,,,,https://youtu.be/fNFdAxnKZIo,['olympic_lift: clean and jerk'],weightlifting 1; strength 2,1,0,0,,1,Reps,1384,5b93864bcbb461000f8b9770
3 Position Clean Deadlift,,olympic_lifting,,,,,,https://youtu.be/PseviRNTb-w,['olympic_lift: deadlift'],strength 3; strength 1; strength 2; weightlifting 2,1,0,0,,1,Reps,1072,5a14bcedff5148000f6bc008
3 Position Power Clean,,olympic_lifting,,,,,,https://youtu.be/1lcPnq2e_rM,['olympic_lift: power clean'],strength 1,1,0,0,,1,Reps,1782,5cb6878fcc3ad8000f1f78a7
3 Position Snatch,,olympic_lifting,,,,,,https://youtu.be/IrXbuX1XVoc,['olympic_lift: snatch'],strength 1; weightlifting 1; strength 2; strength; warm-up / movement prep; movement primer,1,0,0,,1,Reps,1025,59ea9ded145143000f71e21b
3 Position Snatch Deadlift,,olympic_lifting,,,,,,https://youtu.be/muxecEeHRsg,"['olympic_lift: deadlift', 'olympic_lift: snatch']",strength 3; weightlifting 3; strength 1; strength 2,1,0,0,,1,Reps,1070,5a14b29321a0de000fcacd46
3-Way Lunge,,,,,,,,https://youtu.be/RvqYZZ7AqIM,['basic_functional_movement: lunge'],accessory work 1,0,0,0,,0,Reps,1889,5d13de4ccc3ad8000f34a2ec
4 Cone Box Drill,,speed_agility_quickness,,,,,,https://youtu.be/CYdkZbD8sjw,[],stamina 1; stamina,0,1,0,,1,Reps,209,57e2fd3a4c6a031dc777e8fd
4 Way Dead Bugs,,core,,,,,,https://youtu.be/6XdUv05OPCI,[],strength work,1,0,0,,1,Reps,240,57e2fd3a4c6a031dc777e923
400 Meter Sprint,,cardiorespiratory,,,sprint,,,https://youtu.be/rFlJPm9wd1o,['basic_functional_movement: sprint'],warm-up / movement prep; endurance,0,0,0,,0,Meters,525,58459df8dc2ce90011f93d87
5 Cone Zig Zag Drill,,speed_agility_quickness,,,,,,https://youtu.be/lVM0DU-kdec,[],speed work; plyometrics; stamina 1; stamina 2; stamina; stamina 3,0,1,1,,2,Reps,212,57e2fd3a4c6a031dc777e900
5 Minute Flow: The Deep Lunge,,,,,,,,https://youtu.be/cyd6tVhmkcw,['basic_functional_movement: lunge'],breathing work,0,0,0,,0,Time,1110,5a5030f2b0d8ca000f30c99c
5 Way Med Ball Circuit,,,,,,,,https://youtube.com/watch?v=psuefcS75nA,[],dynamic warm-up,0,0,0,,0,Reps,581,5861d6b64d0fec0011c02cf9
5 Way Shoulder Stretch,,flexibility,,,,,,https://youtu.be/kcze3ieMqww,[],warm-up/movement prep; movement flow; cool down; mobility; breathing work; mobility work 1; down regulation breathing; recovery protocol; neuro adaptation; mobility work,0,0,0,,0,Seconds; Reps; Minutes; Time,954,59c97d783d98d0000fd7fc8b
5-10-5 Sprint,"sprint 5m, cut, 5m back, cut, then 10m etc",speed_agility_quickness,,,,,,https://youtu.be/Uqk3GPQmiNU,['basic_functional_movement: sprint'],carbine; accessory stamina; precision rifle; speed work; plyometrics; heart rate elevation; stamina 1; pistol - outside the waistband; pistol - concealed carry; stamina part 1; conditioning 1; stamina; stamina 2,0,1,1,,2,Reps,211,57e2fd3a4c6a031dc777e8ff
5-Way Upper Body Med-ball Plyo Circuit,,,,,,,,https://youtu.be/KtNufhebd7I,['equipment: medicine-slam balls'],,0,0,0,,0,,242,57e2fd3a4c6a031dc777e925
500 Meter Swim,,cardiorespiratory,,,swim_freestyle,,,https://youtu.be/GXiBQuO7R9k,['equipment: swimming'],swim cool down; double pst; endurance - swim; stamina- swimming; stamina 2; swimming; endurance; cool down; triathlon - sprint distance; down regulation breathing; stamina- swim; triathlon ssp; cool down/swim; stamina; olympic distance ssp; bud/s pst; triathlon - olympic; triathlon - olympic distance; conditioning; blood flow / transition practice session; swim development; buds pst; olympic distance,0,1,0,,1,Minutes; Meters,521,58459d78dc2ce90011f93d83
6 Inch Hold,,,,,,,,https://youtu.be/v9U6r7Nnryg,[],accessory work 2; accessory work; warm-up; stamina 1; warm-up / movement prep,0,1,0,,1,Seconds; Time,600,58727a1ab06dc50011d08495
6 Kick Switch,,,,,,,,https://youtu.be/3mBb2djmdv0,[],cyclic work,0,0,0,,0,Yards,1106,5a4d3caab0d8ca000f30464b
