Define categories for actions to align with adaptation types and similar functional movements,Define candidate action's applicability to movement,,,,,,How to Apply Weight,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
,,,,,,,strength_integrated_resistance,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Moving External Weight,,,,body_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300_a,move weight from front of hip to above head,,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2300_b,,,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2301_a,press weight from shoulder to above head,shoulder up,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2301_b,,above down to shoulder,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2302_1,move weight from outside hip to same shoulder,,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2302_b,,,,,,,strength_integrated_resistance,,,,,,,10,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2303_a,move weight from ouside hip to opposite shoulder,hip to shoulder,,,,,strength_integrated_resistance,,,double_arm,,,,10,TRUE,no_speed,FALSE,,concentric,,,,,,,,Trunk Rotation,,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Flexion",,,,isometric,,,,,,,,,,,,,
2303_b,,shoulder to hip,,,,,strength_integrated_resistance,,,double_arm,,,,10,TRUE,no_speed,FALSE,,eccentric,,,,,,,,Trunk Rotation,,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",,,,isometric,,,,,,,,,,,,,
2304_a,"move weight from floor, to the side, to above the head","floor, side, above head",,,,,strength_integrated_resistance,,,double_arm,,,,30,TRUE,no_speed,FALSE,,concentric,,hip extension,,knee extension,,,,Trunk Extension w/ Rotation,,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Flexion",,,,isometric,,,,,,,,,,,,,
2304_b,,"above head, side, floor",,,,,strength_integrated_resistance,,,double_arm,,,,30,TRUE,no_speed,FALSE,,eccentric,,hip flexion,,knee flexion,,,,Trunk Flexion,,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Olympic Lift Components,,,,body_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lift bar from floor to hip,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deadlift: bar from floor to knee,,,,,,,"barbell, hexbar, dumbell",,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deadlift: bar from knee to hip,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deadlift: bar from hip to knee,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deadlift: bar from knee to floor,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lift bar from hip to shoulder,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clean: Explosive Extension with shrug,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clean: Drop and Receive,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swing Clean: Explovie Extension,,,,,,,"kettlebell, double_kettlebell",,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swing Clean: Drop and Receive,,,,,,,"kettlebell, double_kettlebell",,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squat,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,front squat: standing up,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,front squat: squatting down,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,front squat: stagger stance standing up,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,front squat: stagger stance squatting down,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raise bar from shoulder above head:,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push Press: squat down,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push Press: Pop up,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder Press: raise up,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder Press: lower down,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push Jerk: squat down,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push Jerk: Pop up,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push Jerk: Catch,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plyometric Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001_a,squat jump,squat jump take off,,,,,power_action_plyometrics,,double_leg,,,bilateral,,100,TRUE,high_force,FALSE,,concentric,,hip extension,,knee extension,,,,,,,,,,isometric,,,,,,,,,,,,,
3001_b,,squat jump landing,,,,,power_action_plyometrics,,double_leg,,,bilateral,,100,TRUE,low_force,FALSE,,eccentric,,hip flexion,,knee flexion,,,,,,,,,,isometric,,,,,,,,,,,,,
3002_a,split squat jump,split squat take off,,,,,power_action_plyometrics,,split_leg,,,bilateral_uneven,,100 (75 / 25),TRUE,high_force,FALSE,,concentric,,hip extension,,knee extension,,,,,,,,,,isometric,hip abduction,,,,,,,,,,,,
3002_b,,spit squat landing,,,,,power_action_plyometrics,,split_leg,,,bilateral_uneven,,100 (75 / 25),TRUE,low_force,FALSE,,eccentric,,hip flexion,,knee flexion,,,,,,,,,,isometric,hip abduction,,,,,,,,,,,,
3002_c,,split squat hold,,,,,power_action_plyometrics,,split_leg,,,bilateral_uneven,,100 (75 / 25),TRUE,no_speed,FALSE,,isometric,,hip extension,,knee extension,,,,,,,,,,isometric,hip abduction,,,,,,,,,,,,
3003,single leg squat jump,,,,,,power_action_plyometrics,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,power_action_plyometrics,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
3004_a,broad jump,broad jump take off,,,,,power_action_plyometrics,,double_leg,,,,,,TRUE,mod_force,TRUE,,concentric,,hip extension,,knee extension,,ankle plantar flexion,,,,,,,,isometric,,,,,,,,,,,,,
3004_b,,broad jump landing,,,,,power_action_plyometrics,,double_leg,,,,,,TRUE,,TRUE,,eccentric,,hip flexion,,knee flexion,,ankle dorsiflexion,,,,,,,,isometric,,,,,,,,,,,,,
,single leg jump ,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3001, 3020, 1004",burpee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020_a,jump into prone plank,arms down,,,,,power_action_plyometrics,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
3020_b,,leg extension,,,,,power_action_plyometrics,,prone,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
3020_c,jump out of prone plank,feet to hands,,,,,power_action_plyometrics,,prone,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
3020_d,,squat to upright,,,,,power_action_plyometrics,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Med ball throws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100_a,chest / push throw,throw,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,concentric,,,,,,,,,,Shoulder Horizontal Adduction (Horizontal Flexion),,elbow extension,,isometric,,,,,,elbow extension,,,,,,,
3100_b,,loading / catch,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,eccentric,,,,,,,,,,Shoulder Horizontal Abduction (Horizontal Extension),,elbow flexion,,isometric,,,,,,elbow flexion,,,,,,,
3101_a,overhead throw,throw,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,concentric,,,,,,,,Trunk Flexion,,,,,,isometric,,,,,,,,,,,,,
3101_b,,loading / catch,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,eccentric,,,,,,,,Trunk Extension,,,,,,isometric,,,,,,,,,,,,,
3102_1,lateral throw,throw,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,concentric,,,,,,,,Trunk Rotation,,,,,,isometric,,,,,,,,,,,,,
3102_b,,loading / catch,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,mod_force,FALSE,,eccentric,,,,,,,,Trunk Rotation,,,,,,isometric,,,,,,,,,,,,,
3103_a,slam from overhead,throw,,,,,power_action_plyometrics,,,double_arm,,,,,TRUE,high_force,FALSE,,concentric,,,,,,,,Trunk Flexion,,,,,,isometric,,,,,,,,,,,,,
3103_b,,stand upright,,,,,power_action_plyometrics,,,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,single arm throw,,,,,,power_action_plyometrics,,,single_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Olympic Lift Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,push press,positive,,,,,power_action_olympic_lift,"barbell, dumbbell, kettlebell",,double_arm,,bilateral,,10,TRUE,max_force,TRUE,,concentric,,,,,,,,,1,Shoulder Flexion,3,elbow extension,,,,,,,,,,,,,,,
,,negative,,,,,power_action_olympic_lift,"barbell, dumbbell, kettlebell",,double_arm,,bilateral,,10,TRUE,no_speed,TRUE,,eccentric,,,,,,,,,,Shoulder Extension,,elbow flexion,,,,,,,,,,,,,,,
,,"lower body, positive",,,,,power_action_olympic_lift,,double_leg,,,bilateral,,100,TRUE,max_force,FALSE,,concentric,,,2,knee extension,2,ankle plantar flexion,,,,,,,,,,,,,,,,,,,,,
,,"lower body, negative",,,,,power_action_olympic_lift,,double_leg,,,bilateral,,100,TRUE,no_speed,FALSE,,eccentric,,,2,knee flexion,2,ankle dorsiflexion,,,,,,,,,,,,,,,,,,,,,
,single arm push press,"arms, positive",,,,,power_action_olympic_lift,"dumbbell, kettlebell",,single_arm,,unilateral,,5,TRUE,max_force,TRUE,,concentric,,,,,,,,,1,Shoulder Flexion,3,elbow extension,,,,,Trunk Lateral Flexion,,,,,,,,,,
,,"arms, negative",,,,,power_action_olympic_lift,"dumbbell, kettlebell",,single_arm,,unilateral,,5,TRUE,no_speed,TRUE,,eccentric,,,,,,,,,1,Shoulder Extension,3,elbow flexion,,,,,Trunk Lateral Flexion,,,,,,,,,,
,,"lower body, positive",,,,,power_action_olympic_lift,,double_leg,,,bilateral_uneven,,"60, 40",TRUE,max_force,FALSE,,concentric,,,2,knee extension,2,ankle plantar flexion,,,,,,,,,,,,,,,,,,,,,
,,"lower body, negative",,,,,power_action_olympic_lift,,double_leg,,,bilateral_uneven,,"60, 40",TRUE,no_speed,FALSE,,eccentric,,,2,knee flexion,2,ankle dorsiflexion,,,,,,,,,,,,,,,,,,,,,
,clean and jerk,,,,,,power_action_olympic_lift,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,power_action_olympic_lift,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,power_action_olympic_lift,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,power_action_olympic_lift,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,power_action_olympic_lift,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plyometric Drills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000_a,5 meter Sprint,propulsion,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,low_force,FALSE,,concentric,,hip extension,,knee extension,,ankle plantar flexion,,,,,,,,,,,,,,,,,,,,,
4000_b,,landing,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,low_force,FALSE,,eccentric,,hip flexion,,knee flexion,,ankle dorsiflexion,,,,,,,,,,,,,,,,,,,,,
4001_a,bounding,bound take off,https://www.youtube.com/watch?v=0WF-6oUIFlU&feature=youtu.be,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,mod_force,TRUE,,concentric,,hip extension,,knee extension,,ankle plantar flexion,,,,,,,,isometric,,,,,,,,,,,,,
4001_b,,bound landing,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,low_force,TRUE,,eccentric,,hip flexion,,knee flexion,,ankle dorsiflexion,,,,,,,,isometric,,,,,,,,,,,,,
4002,skips,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
4003_a,5 meter backwards run,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003_b,,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,forward steps over hurdles,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,100,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Lateral Gait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,lateral run,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
4101,"lateral bounding, 45deg from centerline",,https://www.youtube.com/watch?v=DmzZtuzKFds,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
4102,lateral skip,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
4103,lateral shuffle,,,,,,power_drills_plyometrics,,single_leg,,,unilateral_alternating,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lateral steps over hurdles,,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Directonal Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,plant for 90deg cut,decelerate,,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,high_force,TRUE,,eccentric,1,hip flexion,1,knee flexion,2,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,
,,accelerate,,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,high_force,TRUE,,concentric,1,"hip abduction
hip extension",1,knee extension,2,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,frontal plane,,,,,,,,,,
4201,"180 deg change of direction, 
weight on outside leg (i.e. shuffle)",decelerate,https://youtu.be/Uqk3GPQmiNU,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,high_force,TRUE,,eccentric,1,"hip adduction
hip flexion",1,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,frontal plane,,,,,,,,,,
,,accelerate,,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,mod_force,TRUE,,concentric,1,"hip abduction
hip extension",1,knee extension,3,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,frontal plane,,,,,,,,,,
4202,"180 deg change of direction, 
weight on inside leg (i.e. cut)",decelerate,https://youtu.be/2C5ro8111_s,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,high_force,TRUE,,eccentric,1,hip flexion,1,knee flexion,2,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,
,,accelerate,,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,high_force,TRUE,,concentric,1,hip extension,1,knee extension,2,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,
4203,"change of direction around cone, 
90 or 180deg ",decelerate,https://youtu.be/rLtvdHEwnus?t=22,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,mod_force,TRUE,,eccentric,1,hip flexion,1,knee flexion,2,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,
,,accelerate,,,,,power_drills_plyometrics,,single_leg,,,unilateral,,100,TRUE,mod_force,TRUE,,concentric,1,hip extension,1,knee extension,2,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,
,Hops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,two leg hop,forward,https://www.youtube.com/watch?v=EUp2Q8ID1dM&app=desktop,,,,power_drills_plyometrics,,double_leg,,,,,,FALSE,,FALSE,,concentric,3,hip extension,1,knee extension,1,ankle plantar flexion,,,,,,,,isometric,,,,,,,,,,,,,
,,backward,,,,,power_drills_plyometrics,,double_leg,,,,,,FALSE,,FALSE,,eccentric,1,hip flexion,1,knee flexion,2,ankle dorsiflexion,,,,,,,,isometric,,,,,,,,,,,,,
,,lateral,,,,,power_drills_plyometrics,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
4301,single leg hop,forward,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,backward,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,lateral,,,,,power_drills_plyometrics,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
