Define categories for actions to align with adaptation types and similar functional movements,Define candidate action's applicability to movement,,,,,,How to Apply Weight,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
102_a,assault bike arms,,,cycle,,,strength_cardiorespiratory,,,,u,unilateral_alternating,,,FALSE,low_force,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,standing cycling,,,cycle,,,strength_cardiorespiratory,,,,"l, t",unilateral_alternating,,,FALSE,low_force,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Misc Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200_a,row,power phase,,row,,,strength_cardiorespiratory,machine resistence,double_leg,double_arm,,bilateral,,0,TRUE,low_force,TRUE,,concentric,1,hip extension,2,knee extension,,,2,Trunk Extension,2,Shoulder Horizontal Abduction (Horizontal Extension),2,elbow flexion,,isometric,,,,,,,,,,,,,
200_b,,recovery phase,,row,,,strength_cardiorespiratory,,double_leg,double_arm,,bilateral,,100,FALSE,no_speed,FALSE,,concentric,3,hip flexion,3,knee flexion,,,3,Trunk Flexion,3,Shoulder Horizontal Adduction (Horizontal Flexion),3,elbow extension,,isometric,,,,,,,,,,,,,
201_a,ski erg,power phase,https://www.concept2.com/skierg/training/technique-video,ski_erg,,,strength_cardiorespiratory,machine resistence,double_leg,double_arm,,bilateral,,100,TRUE,low_force,TRUE,,concentric,2,hip flexion,2,knee flexion,,,1,Trunk Flexion,,Shoulder Extension,,elbow extension,,isometric,,,,,,,,,,,,,
201_b,,recovery phase,,ski_erg,,,strength_cardiorespiratory,,double_leg,double_arm,,bilateral,,100,FALSE,no_speed,FALSE,,concentric,2,hip extension,2,knee extension,2,ankle plantar flexion,2,Trunk Extension,2,Shoulder Flexion,2,elbow flexion,,isometric,,,,,,,,,,,,,
202_a,ski erg alternating arms,power phase,https://www.concept2.com/skierg/training/technique-video,ski_erg,,,strength_cardiorespiratory,machine resistence,double_leg,alternating_arms,,unilateral_alternating,,100,TRUE,low_force,TRUE,,concentric,2,hip flexion,2,knee flexion,,,1,Trunk Flexion w/ Rotation,1,Shoulder Extension,1,elbow extension,,isometric,,,,,,,,,,,,,
202_b,,recovery phase,,ski_erg,,,strength_cardiorespiratory,,double_leg,alternating_arms,,unilateral_alternating,,100,FALSE,no_speed,FALSE,,concentric,2,hip extension,2,knee extension,2,ankle plantar flexion,2,Trunk Extension,2,Shoulder Flexion,2,elbow flexion,,isometric,,,,,,,,,,,,,
203_a,ski erg seated,power phase,https://www.concept2.com/skierg/training/technique-video,ski_erg,,,strength_cardiorespiratory,machine resistence,double_leg,double_arm,,unilateral_alternating,,40,TRUE,low_force,TRUE,,concentric,,,,,,,1,Trunk Flexion w/ Rotation,1,Shoulder Extension,1,elbow extension,,isometric,,,,,,,,,,,,,
