SubAction,,,,,,,literal direction that the joint is moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub_action_id,sub_action_name,description,muscle_action,movement_system_priority,movement_system,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action,wrist_joint_priority,wrist_joint_action,,body_position,eligible_external_resistance,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution
1220.1_a,Leg Side Raise: positive,combined extension and abduction to raise leg at a 45degree angle back and away from the mid line,concentric,,,1,hip extension,3,knee extension,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_a,,,concentric,,,1,hip abduction,3,knee extension,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_b,Leg Side Raise: negative,,eccentric,,,1,hip flexion,3,knee flexion,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_b,,,eccentric,,,1,hip adduction,3,knee flexion,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.2_a,Leg Flexion: positive,,concentric,,,1,hip flexion,3,knee flexion,,,,,,,,,,,,quadruped,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.2_b,Leg Flexion: negative,,eccentric,,,1,hip extension,3,knee extension,,,,,,,,,,,,quadruped,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1221_a,overhead reach:positive,,concentric,,,,,,,,,,,1,Shoulder Flexion,,,,,,quadruped,,,TRUE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
1221_b,overhead reach:negative,,eccentric,,,,,,,,,,,1,Shoulder Extension,,,,,,quadruped,,,TRUE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
1221.1_a,crawl forward:positive,"using a single arm and contralateral leg, crawl forward (i.e. bear crawl)",,,,1,hip extension,,,,,,,1,Shoulder Extension,,,,,,quadruped,,,TRUE,TRUE,TRUE,contralateral_single_leg,single_arm,unilateral_alternating,2,1,2,1,100,"100,100"
1221.1_a,crawl backward:positive,"using a single arm and contralateral leg, crawl backward (i.e. bear crawl)",,,,1,hip flexion,,,,,,,1,Shoulder Flexion,,,,,,quadruped,,,TRUE,TRUE,TRUE,contralateral_single_leg,single_arm,unilateral_alternating,2,1,2,1,100,"100,100"
1230_a,Prone T:positive,,concentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),,,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
1230_b,Prone T:negative,,eccentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),,,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Resistance Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Body Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400_a,Bench Press:positive,Bench Press,concentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),1,elbow extension,,,,supine,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400_b,Bench Press:negative,,eccentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),1,elbow flexion,,,,supine,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400.1_a,Wide Grip Bench Press:positive,Wide Grip Bench Press,concentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),2,elbow extension,,,,supine,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400.1_b,Wide Grip Bench Press:negative,,eccentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),2,elbow flexion,,,,supine,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400.2_a,Narrow Grip Bench Press:positive,Narrow Grip Bench Press,concentric,,,,,,,,,,,2,Shoulder Horizontal Adduction (Horizontal Flexion),1,elbow extension,,,,supine,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400.2_b,Narrow Grip Bench Press:negative,,eccentric,,,,,,,,,,,2,Shoulder Horizontal Abduction (Horizontal Extension),1,elbow flexion,,,,supine,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2400.3_a,push up: positive,push away from chest,concentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),2,elbow extension,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2400.3_a,,,concentric,,,,,,,,,,,1,Shoulder Flexion,,,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2400.3_b,push up: negative,lower down,eccentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),2,elbow flexion,,,,prone,,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2400.3_b,,,eccentric,,,,,,,,,,,1,Shoulder Extension,,,,,,prone,,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2400.3_c,push up: hold,"holding position, push away from chest",isometric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),2,elbow extension,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2400.3_c,,,isometric,,,,,,,,,,,1,Shoulder Flexion,,,,,,prone,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2401_a,Incline Bench Press:positive,,concentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),1,elbow extension,,,,supine,barbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2401_b,Incline Bench Press:positive,,concentric,,,,,,,,,,,2,Shoulder Flexion,,,,,,supine,barbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2401_c,Incline Bench Press:negative,,eccentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),1,elbow flexion,,,,supine,barbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2401_d,Incline Bench Press:negative,,eccentric,,,,,,,,,,,2,Shoulder Extension,,,,,,supine,barbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2401.1,Handstand: hold,,isometric,2,Intrinsic Stabilization Subsystem (ISS) (Drawing In),3,hip extension,3,knee extension,,,3,Trunk Extension,2,Shoulder External Rotation,1,elbow extension,2,Wrist Extension,,prone,no_equipment,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,2,1,100,"50,50"
2401.1,,,isometric,2,Core Stabilizers (Bracing),,,,,,,,,1,Shoulder Abduction,,,,,,prone,no_equipment,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,2,1,100,"50,50"
2401.1,,,isometric,,,,,,,,,,,1,Shoulder Flexion,,,,,,prone,no_equipment,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,2,1,100,"50,50"
2401.1,,,isometric,,,,,,,,,,,1,Scapular Elevation,,,,,,prone,no_equipment,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,2,1,100,"50,50"
2402_a,Bent Over Row:positive,,concentric,,,,,,,,,,,1,Shoulder Extension,0,elbow flexion,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2402_b,Bent Over Row:negative,,eccentric,,,,,,,,,,,1,Shoulder Flexion,0,elbow extension,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,0,0,1,9.43,"50,50"
2403_a,Dips:positive,,concentric,,,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),2,elbow extension,,,,hanging,plate,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2403_a,Dips:positive,,concentric,,,,,,,,,,,2,Shoulder Flexion,,,,,,hanging,plate,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
